2025-09-09 13:35:15,729 - PING-AGENT - INFO - [Desktop] Ping/Keepalive Agent booting — 2025-09-09T11:35:15.729476
2025-09-09 13:35:15,733 - PING-AGENT - INFO - No config found, creating default at /home/eri-irfos/.config/ping_monitor.json
2025-09-09 13:40:27,896 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:40:27.896037', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 31.773/42.702/56.540/9.454 ms'}
2025-09-09 13:40:30,962 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:40:30.962461', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 23.419/50.525/63.196/15.969 ms'}
2025-09-09 13:40:58,719 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:40:58.719419', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 31.003/101.277/250.072/86.967 ms'}
2025-09-09 13:41:01,785 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:41:01.785400', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 21.645/77.804/206.372/74.740 ms'}
2025-09-09 13:41:04,022 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:41:04.022040', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 30.753/48.137/58.766/10.464 ms'}
2025-09-09 13:41:04,834 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:41:04.834783', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 29.709/75.770/126.758/40.872 ms'}
2025-09-09 13:41:07,050 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:41:07.050782', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 23.868/43.752/91.899/28.032 ms'}
2025-09-09 13:41:07,896 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:41:07.896008', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3005ms', 'rtt_line': 'rtt min/avg/max/mdev = 25.068/42.569/50.875/10.263 ms'}
2025-09-09 13:41:10,087 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:41:10.087358', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 25.636/42.613/75.091/19.184 ms'}
2025-09-09 13:41:13,169 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:41:13.169890', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 25.249/137.908/250.002/90.491 ms'}
2025-09-09 13:41:40,982 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:41:40.982914', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 49.066/100.281/163.125/42.562 ms'}
2025-09-09 13:41:44,060 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:41:44.060369', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 22.329/63.241/176.781/65.647 ms'}
2025-09-09 13:41:46,440 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:41:46.440208', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 30.649/95.388/251.617/90.550 ms'}
2025-09-09 13:41:47,098 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:41:47.098933', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 27.207/46.155/64.178/17.107 ms'}
